Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,
09-Sep-21,20MICRONS,54.55,54.7,-0.0027,0.0336,0.0335,0.64,3.35,64
09-Sep-21,21STCENMGM,36.85,36.1,0.0206,0.0209,0.0209,0.3993,2.09,39.93
09-Sep-21,3MINDIA,24213.5,24341.9,-0.0053,0.0205,0.0204,0.3897,2.04,38.97
09-Sep-21,3PLAND,13.9,13.45,0.0329,0.0529,0.0528,1.0087,5.28,100.87
09-Sep-21,500009,29.35,29.7,-0.0119,0.0402,0.0401,0.7661,4.01,76.61
09-Sep-21,500012,149.75,149.15,0.004,0.036,0.0359,0.6859,3.59,68.59
09-Sep-21,500014,2.75,2.74,0.0036,0.0435,0.0434,0.8292,4.34,82.92
09-Sep-21,500016,14.5,13.93,0.0401,0.051,0.0509,0.9724,5.09,97.24
09-Sep-21,500028,8.97,8.86,0.0123,0.0331,0.0331,0.6324,3.31,63.24
09-Sep-21,500058,11.84,11.54,0.0257,0.0334,0.0333,0.6362,3.33,63.62
09-Sep-21,500068,5685,5671.05,0.0025,0.0255,0.0255,0.4872,2.55,48.72
09-Sep-21,500069,205,193.6,0.0572,0.0297,0.0299,0.5712,2.99,57.12
09-Sep-21,500120,295.85,285.15,0.0368,0.0356,0.0356,0.6801,3.56,68.01
09-Sep-21,500123,3756.05,3786.45,-0.0081,0.0287,0.0287,0.5483,2.87,54.83
09-Sep-21,500143,64.95,68,-0.0459,0.035,0.035,0.6687,3.5,66.87
09-Sep-21,500147,964.95,955,0.0104,0.0325,0.0325,0.6209,3.25,62.09
09-Sep-21,500153,78.2,76.35,0.0239,0.0315,0.0315,0.6018,3.15,60.18
09-Sep-21,500159,79.25,77.4,0.0236,0.0399,0.0399,0.7623,3.99,76.23
09-Sep-21,500166,254.25,249.75,0.0179,0.0297,0.0297,0.5674,2.97,56.74
09-Sep-21,500170,19.55,19.6,-0.0026,0.04,0.0399,0.7623,3.99,76.23
09-Sep-21,500192,2.07,1.98,0.0445,0.0334,0.0335,0.64,3.35,64
09-Sep-21,500202,8.4,8.25,0.018,0.0314,0.0314,0.5999,3.14,59.99
09-Sep-21,500206,27.55,29,-0.0513,0.0354,0.0355,0.6782,3.55,67.82
09-Sep-21,500211,6.4,6.35,0.0078,0.0408,0.0407,0.7776,4.07,77.76
09-Sep-21,500213,81.8,79.2,0.0323,0.0342,0.0342,0.6534,3.42,65.34
09-Sep-21,500214,2299.6,2338.3,-0.0167,0.0309,0.0308,0.5884,3.08,58.84
09-Sep-21,500220,139.85,133.75,0.0446,0.0397,0.0397,0.7585,3.97,75.85
09-Sep-21,500223,2.98,2.85,0.0446,0.0388,0.0389,0.7432,3.89,74.32
09-Sep-21,500236,2.14,2.24,-0.0457,0.0318,0.0319,0.6094,3.19,60.94
09-Sep-21,500239,43.1,43,0.0023,0.0354,0.0353,0.6744,3.53,67.44
09-Sep-21,500240,63.55,64.4,-0.0133,0.0324,0.0324,0.619,3.24,61.9
09-Sep-21,500246,31.75,31.1,0.0207,0.0325,0.0325,0.6209,3.25,62.09
09-Sep-21,500248,4.47,4.26,0.0481,0.0637,0.0636,1.2151,6.36,121.51
09-Sep-21,500264,139.25,140.05,-0.0057,0.0382,0.0381,0.7279,3.81,72.79
09-Sep-21,500267,118,119.85,-0.0156,0.0344,0.0343,0.6553,3.43,65.53
09-Sep-21,500274,5.69,5.69,0,0.0414,0.0413,0.789,4.13,78.9
09-Sep-21,500284,62.15,60.3,0.0302,0.0352,0.0352,0.6725,3.52,67.25
09-Sep-21,500298,2271.6,2195.8,0.0339,0.0303,0.0304,0.5808,3.04,58.08
09-Sep-21,500306,58.65,57.7,0.0163,0.0402,0.0401,0.7661,4.01,76.61
09-Sep-21,500307,305.45,303.45,0.0066,0.017,0.017,0.3248,1.7,32.48
09-Sep-21,500319,43.95,43.55,0.0091,0.0397,0.0396,0.7566,3.96,75.66
09-Sep-21,500333,799.25,796.4,0.0036,0.0383,0.0382,0.7298,3.82,72.98
09-Sep-21,500346,34.5,33.75,0.022,0.0418,0.0418,0.7986,4.18,79.86
